sku,name,description,slug,meta_description,meta_keywords,shipping_category_id,price,taxons_ru,Taxons,Available On,stock,product_properties,translation,price_eu,price_ru,Images
978-5-699-75923-1_site_4,Прайс-лист для издателя,"Всемирно известный эксперт по вопросам преступности Дронго приглашен на книжную ярмарку во Франкфурте - его попросили представить общественности скандальную книгу о наркоторговцах. Но накануне презентации эксперт случайно обнаруживает в туалете павильона тело мужчины с перерезанным горлом. Немецкая полиция, узнав, кто такой Дронго, сразу же привлекает его к расследованию. Убитым оказался мелкий издатель из Майнца. Однако быстро выяснилось, что, в недавнем прошлом гражданин Сербии, он участвовал в войне на Балканах. Дронго уверен: преступление как-то связано с боевым прошлым убитого. Он также уверен, что быстро найдет убийцу. Но он еще не знает другого: в этот раз убийцу лучше не искать…",book_316686_site_4,"","",default,2.11,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Авторы>Чингиз Абдуллаев|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Authors>Чингиз Абдуллаев|Publishers>Эксмо,2014-01-01,21,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-75923-1|Format:70x90/32|in_stock:21|Pages:320|,"Прайс-лист для издателя:Всемирно известный эксперт по вопросам преступности Дронго приглашен на книжную ярмарку во Франкфурте - его попросили представить общественности скандальную книгу о наркоторговцах. Но накануне презентации эксперт случайно обнаруживает в туалете павильона тело мужчины с перерезанным горлом. Немецкая полиция, узнав, кто такой Дронго, сразу же привлекает его к расследованию. Убитым оказался мелкий издатель из Майнца. Однако быстро выяснилось, что, в недавнем прошлом гражданин Сербии, он участвовал в войне на Балканах. Дронго уверен: преступление как-то связано с боевым прошлым убитого. Он также уверен, что быстро найдет убийцу. Но он еще не знает другого: в этот раз убийцу лучше не искать…",1.71,111,http://www.ozon.ru/multimedia/books_covers/1010920349.jpg
978-5-699-68493-9_site_4,Три цвета крови,"Охотник-одиночка, он не доверяет никому, и эта привычка не раз спасала ему жизнь. Аналитик экстра–класса Дронго слишком часто смотрел в глаза смерти, чтобы отступать от этого правила. Распутывая паутину заговора, нацеленного на уничтожение президентов Грузии и Азербайджана, он буквально идет по краю пропасти. Любой неверный шаг чреват мгновенной гибелью. Но профессионал не делает лишних движений.",book_316688_site_4,"","",default,1.97,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Авторы>Чингиз Абдуллаев|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Authors>Чингиз Абдуллаев|Publishers>Эксмо,2014-01-01,6,Publisher:М.: Эксмо|publication_year:2013|ISBN:978-5-699-68493-9|Format:70x90/32|in_stock:6|Pages:320|,"Три цвета крови:Охотник-одиночка, он не доверяет никому, и эта привычка не раз спасала ему жизнь. Аналитик экстра–класса Дронго слишком часто смотрел в глаза смерти, чтобы отступать от этого правила. Распутывая паутину заговора, нацеленного на уничтожение президентов Грузии и Азербайджана, он буквально идет по краю пропасти. Любой неверный шаг чреват мгновенной гибелью. Но профессионал не делает лишних движений.",1.6,104,http://www.ozon.ru/multimedia/books_covers/1007713547.jpg
978-5-699-69953-7_site_4,Игра на чужом поле,"Вас мучают какие-то тайные желания? Надежно законспирированная ""фирма"" поможет вам. Все что угодно – от растления малолетних до убийства. Дела ""фирмы"" процветают, а вычислить преступников практически невозможно: они не оставляют улик, дисциплинированы, редко собираются вместе. Анастасии Каменской ""повезло"" – она попала в сферу внимания группировки. Чтобы изобличить ""фирмачей"", ей приходится вести тонкую и опасную игру, и даже – могла ли она когда-либо представить такое?! – воспользоваться помощью крупного мафиози, истинного хозяина Города…",book_316689_site_4,"","",default,4.19,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Авторы>Александра Маринина|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Authors>Александра Маринина|Publishers>Эксмо,2014-01-01,12,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-69953-7|Format:84x108/32|in_stock:12|Pages:352|,"Игра на чужом поле:Вас мучают какие-то тайные желания? Надежно законспирированная ""фирма"" поможет вам. Все что угодно – от растления малолетних до убийства. Дела ""фирмы"" процветают, а вычислить преступников практически невозможно: они не оставляют улик, дисциплинированы, редко собираются вместе. Анастасии Каменской ""повезло"" – она попала в сферу внимания группировки. Чтобы изобличить ""фирмачей"", ей приходится вести тонкую и опасную игру, и даже – могла ли она когда-либо представить такое?! – воспользоваться помощью крупного мафиози, истинного хозяина Города…",3.41,221,http://www.ozon.ru/multimedia/books_covers/1009255412.jpg
978-5-699-72471-0_site_4,Смерть ради смерти,"То, с чем на этот раз столкнулась Анастасия Каменская, больше похоже на выдумку фантаста - в одном из районов Москвы резко возрос уровень преступности. Невероятно, но прибор, разработанный в одном из здешних научных институтов, стимулирует агрессию. И, похоже, кто-то хочет с его помощью манипулировать людьми. Он упорно идет к цели, с изощренной выдумкой уничтожая тех, кто стоит на его пути. Но все же он не демон зла, а всего лишь человек, которому свойственно ошибаться. Чтобы заставить этого человека совершить ошибку, Анастасии придется пройти по узкому мостику между жизнью и смертью...",book_316690_site_4,"","",default,4.19,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Авторы>Алексндра Маринина|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Authors>Алексндра Маринина|Publishers>Эксмо,2014-01-01,19,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-72471-0|Format:84x108/32|in_stock:19|Pages:320|,"Смерть ради смерти:То, с чем на этот раз столкнулась Анастасия Каменская, больше похоже на выдумку фантаста - в одном из районов Москвы резко возрос уровень преступности. Невероятно, но прибор, разработанный в одном из здешних научных институтов, стимулирует агрессию. И, похоже, кто-то хочет с его помощью манипулировать людьми. Он упорно идет к цели, с изощренной выдумкой уничтожая тех, кто стоит на его пути. Но все же он не демон зла, а всего лишь человек, которому свойственно ошибаться. Чтобы заставить этого человека совершить ошибку, Анастасии придется пройти по узкому мостику между жизнью и смертью...",3.41,221,http://www.ozon.ru/multimedia/books_covers/1010372607.jpg
978-5-699-69951-3_site_4,Стечение обстоятельств,"Интересно съесть ужин, приготовленный убийцей. Что Настя Каменская и делает, причем в компании самого ""повара"". Таково стечение обстоятельств: она вычислила киллера, его сообщников, но для того, чтобы получить неопровержимые доказательства, ей надо ""раскрутить"" расчетливого и хладнокровного профи по всей программе. Вот она и старается, отчетливо понимая, что любое неосторожное слово или движение может стоить ей жизни. За окном поздний вечер, и до утра еще целая вечность...",book_316691_site_4,"","",default,4.19,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Авторы>Александра Маринина|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Authors>Александра Маринина|Publishers>Эксмо,2014-01-01,11,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-69951-3|Format:84x108/32|in_stock:11|Pages:320|,"Стечение обстоятельств:Интересно съесть ужин, приготовленный убийцей. Что Настя Каменская и делает, причем в компании самого ""повара"". Таково стечение обстоятельств: она вычислила киллера, его сообщников, но для того, чтобы получить неопровержимые доказательства, ей надо ""раскрутить"" расчетливого и хладнокровного профи по всей программе. Вот она и старается, отчетливо понимая, что любое неосторожное слово или движение может стоить ей жизни. За окном поздний вечер, и до утра еще целая вечность...",3.41,221,http://www.ozon.ru/multimedia/books_covers/1009255411.jpg
978-5-699-71122-2_site_4,Убийца поневоле,"Кто же она такая - любовница ее брата? С поисков ответа на этот вопрос начинает свое частное расследование Анастасия Каменская. Она и не подозревала, что пустяковое на первый взгляд дело обретет поистине международный масштаб, а по ходу расследования ей придется столкнуться с целым рядом жестоких и вроде бы немотивированных убийств. И, разумеется, она не могла предвидеть, что распутывать этот криминальный клубок ей помогут боевой генерал-десантник и матерый вор в законе, в долгу перед которыми она останется на всю жизнь. А с подружкой брата все стало ясно сразу же...",book_316692_site_4,"","",default,4.19,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Авторы>Александра Маринина|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Authors>Александра Маринина|Publishers>Эксмо,2014-01-01,10,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-71122-2|Format:84x108/32|in_stock:10|Pages:320|,"Убийца поневоле:Кто же она такая - любовница ее брата? С поисков ответа на этот вопрос начинает свое частное расследование Анастасия Каменская. Она и не подозревала, что пустяковое на первый взгляд дело обретет поистине международный масштаб, а по ходу расследования ей придется столкнуться с целым рядом жестоких и вроде бы немотивированных убийств. И, разумеется, она не могла предвидеть, что распутывать этот криминальный клубок ей помогут боевой генерал-десантник и матерый вор в законе, в долгу перед которыми она останется на всю жизнь. А с подружкой брата все стало ясно сразу же...",3.41,221,http://www.ozon.ru/multimedia/books_covers/1009877191.jpg
978-5-699-71120-8_site_4,Украденный сон,"Выстрелы прозвучали одновременно. Ларцев рухнул как подкошенный, а Олег стал медленно оседать, привалившись к дверному косяку. Наталья Евгеньевна едва успела осознать случившееся, как раздался звонок в дверь. Послышались голоса: ""Откройте, милиция!"" Почему они здесь? Неужели Олежка? Где-то ошибся, прокололся, заставил себя подозревать и притащил за собой ""хвост""? Олежка, сынок, как же ты так! Ей хотелось кричать. Она слишком часто видела смерть и как врач, и как охотница. Олег был мертв, никаких сомнений.",book_316693_site_4,"","",default,4.19,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Авторы>Александра Маринина|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Authors>Александра Маринина|Publishers>Эксмо,2014-01-01,13,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-71120-8|Format:84x108/32|in_stock:13|Pages:448|,"Украденный сон:Выстрелы прозвучали одновременно. Ларцев рухнул как подкошенный, а Олег стал медленно оседать, привалившись к дверному косяку. Наталья Евгеньевна едва успела осознать случившееся, как раздался звонок в дверь. Послышались голоса: ""Откройте, милиция!"" Почему они здесь? Неужели Олежка? Где-то ошибся, прокололся, заставил себя подозревать и притащил за собой ""хвост""? Олежка, сынок, как же ты так! Ей хотелось кричать. Она слишком часто видела смерть и как врач, и как охотница. Олег был мертв, никаких сомнений.",3.41,221,http://www.ozon.ru/multimedia/books_covers/1009886915.jpg
978-5-699-74028-4_site_4,Возвращение Крестного,"Большой бизнес, как большая война, без крови и жертв не обходится, Сергей Потапов - вор в законе Крестный - знает это и готов к любым неожиданностям. Единственное, к чему он не готов, так это к тому, чтобы его держали за мелкого лоха. Однако беспредельщики - конкуренты при поддержке оборотней из ФСБ - решили, что московские киллеры легко сотрут в пыль и Крестного, и его друзей. В итоге вор получил две пули, но выжил. А подраненный зверь особо свиреп и опасен. Вы хотели большой войны? Вы ее получите. Крестный обид не прощает.",book_316694_site_4,"","",default,1.73,Categories>Художественная литература>Детективы. Боевики. Триллеры>Боевики|Авторы>Сергей Зверев|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Боевики|Authors>Сергей Зверев|Publishers>Эксмо,2014-01-01,7,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-74028-4|Format:70x100/32|in_stock:7|Pages:320|,"Возвращение Крестного:Большой бизнес, как большая война, без крови и жертв не обходится, Сергей Потапов - вор в законе Крестный - знает это и готов к любым неожиданностям. Единственное, к чему он не готов, так это к тому, чтобы его держали за мелкого лоха. Однако беспредельщики - конкуренты при поддержке оборотней из ФСБ - решили, что московские киллеры легко сотрут в пыль и Крестного, и его друзей. В итоге вор получил две пули, но выжил. А подраненный зверь особо свиреп и опасен. Вы хотели большой войны? Вы ее получите. Крестный обид не прощает.",1.4,91,http://www.ozon.ru/multimedia/books_covers/1010835800.jpg
978-5-699-72104-7_site_4,Диктат акулы,"Вьетнам. Бывшая советская военно-морская база ""Камрань"". Сразу несколько государств претендуют на то, чтобы стать новыми владельцами важного стратегического объекта. Борьбу ведут спецслужбы США, России и Китая. А если за дело взялись секретные ведомства, то об открытой и чистой игре можно забыть! Сначала в районе базы таинственным образом от мощного инфразвукового излучения гибнут российские ученые-океанографы. Затем местные жители замечают в море странного вида акулу. Чтобы разобраться в загадочных событиях в «Камрань» направляют российскую мини-субмарину, однако по прибытии на место ее почти сразу же атакует неизвестная торпеда…",book_316695_site_4,"","",default,1.73,Categories>Художественная литература>Детективы. Боевики. Триллеры>Боевики|Авторы>Сергей Зверев|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Боевики|Authors>Сергей Зверев|Publishers>Эксмо,2014-01-01,69,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-72104-7|Format:70x100/32|in_stock:69|Pages:320|,"Диктат акулы:Вьетнам. Бывшая советская военно-морская база ""Камрань"". Сразу несколько государств претендуют на то, чтобы стать новыми владельцами важного стратегического объекта. Борьбу ведут спецслужбы США, России и Китая. А если за дело взялись секретные ведомства, то об открытой и чистой игре можно забыть! Сначала в районе базы таинственным образом от мощного инфразвукового излучения гибнут российские ученые-океанографы. Затем местные жители замечают в море странного вида акулу. Чтобы разобраться в загадочных событиях в «Камрань» направляют российскую мини-субмарину, однако по прибытии на место ее почти сразу же атакует неизвестная торпеда…",1.4,91,http://www.ozon.ru/multimedia/books_covers/1010255888.jpg
978-5-699-75247-8_site_4,Э.ЛучПр(м).Жиган и бывший мент,Жиган и бывший мент,book_316696_site_4,"","",default,1.73,Undefined|Авторы>Зверев С.И.|Издатели>Эксмо,Undefined|Authors>Зверев С.И.|Publishers>Эксмо,2014-01-01,26,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-75247-8|Format:70x100/32|in_stock:26|Pages:352|,Э.ЛучПр(м).Жиган и бывший мент:Жиган и бывший мент,1.4,91,
978-5-699-72638-7_site_4,За нами Россия!,"США усиливают давление на страны Восточной Европы с целью поставить под удар Россию. Несмотря на то, что вступил в действие запрет на размещение средств ПРО в Европе, американцы продолжают действовать, но уже скрытно. Они ввозят в дружественную им Польшу сверхсекретное оборудование, несущее серьезную угрозу безопасности России. Майор спецназа ВДВ Андрей Лавров по прозвищу Батяня получает приказ любой ценой уничтожить это спецоборудование. Батяня приступил к работе в паре с офицером разведки Светланой Кудрявцевой. Этому тандему противостоят мощнейшие структуры спецслужб США и Польши, и задание кажется совершенно невыполнимым…",book_316697_site_4,"","",default,1.73,Categories>Художественная литература>Детективы. Боевики. Триллеры>Боевики|Авторы>Сергей Зверев|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Боевики|Authors>Сергей Зверев|Publishers>Эксмо,2014-01-01,19,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-72638-7|Format:70x100/32|in_stock:19|Pages:352|,"За нами Россия!:США усиливают давление на страны Восточной Европы с целью поставить под удар Россию. Несмотря на то, что вступил в действие запрет на размещение средств ПРО в Европе, американцы продолжают действовать, но уже скрытно. Они ввозят в дружественную им Польшу сверхсекретное оборудование, несущее серьезную угрозу безопасности России. Майор спецназа ВДВ Андрей Лавров по прозвищу Батяня получает приказ любой ценой уничтожить это спецоборудование. Батяня приступил к работе в паре с офицером разведки Светланой Кудрявцевой. Этому тандему противостоят мощнейшие структуры спецслужб США и Польши, и задание кажется совершенно невыполнимым…",1.4,91,http://www.ozon.ru/multimedia/books_covers/1010351521.jpg
978-5-699-63818-5_site_4,Загадай семь желаний,"Вы молоды, обаятельны, свободны. Вы скучаете, и вас тянет на любовные приключения. И тут появляется ОНА – легкая, изящная, таинственная незнакомка: «Будьте моим бойфрендом на один вечер!» Какой нормальный мужчина откажется от такого предложения! Ну и что с того, что вечеринка проходит в занесенном снегом загородном доме, и туда съехались какие-то странные типы? Не принимайте к сердцу паутину интриг. Не обращайте внимания на труп хозяина, коченеющий в мансардной комнате. Берегите нервы. Они вам пригодятся грядущей ночью…",book_316698_site_4,"","",default,1.73,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Авторы>Андрей Дышев|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Authors>Андрей Дышев|Publishers>Эксмо,2014-01-01,36,Publisher:М.: Эксмо|publication_year:2013|ISBN:978-5-699-63818-5|Format:70x100/32|in_stock:36|Pages:320|,"Загадай семь желаний:Вы молоды, обаятельны, свободны. Вы скучаете, и вас тянет на любовные приключения. И тут появляется ОНА – легкая, изящная, таинственная незнакомка: «Будьте моим бойфрендом на один вечер!» Какой нормальный мужчина откажется от такого предложения! Ну и что с того, что вечеринка проходит в занесенном снегом загородном доме, и туда съехались какие-то странные типы? Не принимайте к сердцу паутину интриг. Не обращайте внимания на труп хозяина, коченеющий в мансардной комнате. Берегите нервы. Они вам пригодятся грядущей ночью…",1.4,91,http://www.ozon.ru/multimedia/books_covers/1005947882.jpg
978-5-699-74071-0_site_4,Морской патруль,"Командир суперподлодки Илья Макаров по прозвищу Морской волк получает приказ срочно отправиться на Арктический шельф, где потерпело крушение научно-исследовательское судно «Академик Королев». Членов экипажа спасли, но на двухкилометровой глубине остался батискаф с учеными, которых и предстоит вызволить из пучины. Задание осложняется тем, что за батискафом уже охотятся американские корабли и подлодка. Чтобы захватить бесценные научно-исследовательские данные, янки идут ва-банк…",book_316699_site_4,"","",default,1.73,Categories>Художественная литература>Детективы. Боевики. Триллеры>Боевики|Авторы>Зверев С.И.|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Боевики|Authors>Зверев С.И.|Publishers>Эксмо,2014-01-01,77,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-74071-0|Format:70x100/32|in_stock:77|Pages:320|,"Морской патруль:Командир суперподлодки Илья Макаров по прозвищу Морской волк получает приказ срочно отправиться на Арктический шельф, где потерпело крушение научно-исследовательское судно «Академик Королев». Членов экипажа спасли, но на двухкилометровой глубине остался батискаф с учеными, которых и предстоит вызволить из пучины. Задание осложняется тем, что за батискафом уже охотятся американские корабли и подлодка. Чтобы захватить бесценные научно-исследовательские данные, янки идут ва-банк…",1.4,91,http://www.ozon.ru/multimedia/books_covers/1010826592.jpg
978-5-699-64031-7_site_4,Моя тень убила меня,"Частный детектив Кирилл Вацура в отпуске. Он нежится на пляже. Он не хочет думать о преступниках и их жертвах. Но в одно мгновение все меняется. Какой-то артист перед публикой летнего театра выдал себя за частного детектива Вацуру и такого наплел со сцены, что у зрителей волосы дыбом встали! И теперь Кирилл должен отвечать за чужой базар. Ему бы спрятаться на несколько дней, затаиться, пока недоразумение не прояснится, но такое поведение не в его духе. Этого экстремала не остановит ни мчащийся без тормозов грузовик, ни пуля, ни яд. Горе тем, кто разбудил в Вацуре зверя - и незадачливому артисту-самозванцу, и всплывшей на волне скандала мафии…",book_316700_site_4,"","",default,1.73,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Авторы>Андрей Дышев|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Authors>Андрей Дышев|Publishers>Эксмо,2014-01-01,32,Publisher:М.: Эксмо|publication_year:2013|ISBN:978-5-699-64031-7|Format:70x100/32|in_stock:32|Pages:320|,"Моя тень убила меня:Частный детектив Кирилл Вацура в отпуске. Он нежится на пляже. Он не хочет думать о преступниках и их жертвах. Но в одно мгновение все меняется. Какой-то артист перед публикой летнего театра выдал себя за частного детектива Вацуру и такого наплел со сцены, что у зрителей волосы дыбом встали! И теперь Кирилл должен отвечать за чужой базар. Ему бы спрятаться на несколько дней, затаиться, пока недоразумение не прояснится, но такое поведение не в его духе. Этого экстремала не остановит ни мчащийся без тормозов грузовик, ни пуля, ни яд. Горе тем, кто разбудил в Вацуре зверя - и незадачливому артисту-самозванцу, и всплывшей на волне скандала мафии…",1.4,91,http://www.ozon.ru/multimedia/books_covers/1005964307.jpg
978-5-699-65761-2_site_4,Отсрочка от казни,"Сплюньте через плечо те, кто считает железнодорожный транспорт самым безопасным... Предвкушая приятное путешествие в спальном вагоне фирменного поезда, Кирилл Вацура даже предположить не мог, что состав окажется в руках террористов, а пассажиры станут их заложниками. Преступники предусмотрели все, так что к ним не могут подступиться даже профессионалы из спецслужб. И тогда Вацура вместе со своим другом Владом начинает борьбу с террористами.",book_316701_site_4,"","",default,1.63,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Авторы>Андрей Дышев|,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Authors>Андрей Дышев|,2014-01-01,28,publication_year:2013|ISBN:978-5-699-65761-2|Format:70x100/32|in_stock:28|Pages:320|,"Отсрочка от казни:Сплюньте через плечо те, кто считает железнодорожный транспорт самым безопасным... Предвкушая приятное путешествие в спальном вагоне фирменного поезда, Кирилл Вацура даже предположить не мог, что состав окажется в руках террористов, а пассажиры станут их заложниками. Преступники предусмотрели все, так что к ним не могут подступиться даже профессионалы из спецслужб. И тогда Вацура вместе со своим другом Владом начинает борьбу с террористами.",1.33,86,http://www.ozon.ru/multimedia/books_covers/1007188810.jpg
978-5-699-57625-8_site_4,Размороженная зона,"Бунт на зоне называется разморозкой. Это когда зэки, доведенные до крайности начальственным беспределом, ""мочат"" сук-активистов и воюют даже со спецназом. Начальник лагеря подполковник Васильев бунта не хотел, но закрутил гайки до упора сознательно: ему нужен чемодан с ценным грузом, а смотрящий за зоной Батя обязательно пошлет на волю маляву с наказом доставить сюда чемодан - только получив его содержимое, он может одолеть ""хозяина"". Вот пусть и летит на Колыму ""грузняк"", а Васильев его перехватит... План четкий, но и Батя не так прост. У него свой план, как заполучить груз и с умом им распорядиться...",book_316702_site_4,"","",default,1.71,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Авторы>Михаил Серегин|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Authors>Михаил Серегин|Publishers>Эксмо,2014-01-01,более 100,Publisher:М.: Эксмо|publication_year:2012|ISBN:978-5-699-57625-8|Format:70x100/32|in_stock:более 100|Pages:352|,"Размороженная зона:Бунт на зоне называется разморозкой. Это когда зэки, доведенные до крайности начальственным беспределом, ""мочат"" сук-активистов и воюют даже со спецназом. Начальник лагеря подполковник Васильев бунта не хотел, но закрутил гайки до упора сознательно: ему нужен чемодан с ценным грузом, а смотрящий за зоной Батя обязательно пошлет на волю маляву с наказом доставить сюда чемодан - только получив его содержимое, он может одолеть ""хозяина"". Вот пусть и летит на Колыму ""грузняк"", а Васильев его перехватит... План четкий, но и Батя не так прост. У него свой план, как заполучить груз и с умом им распорядиться...",1.39,90,http://www.ozon.ru/multimedia/books_covers/1005499325.jpg
978-5-699-58657-8_site_4,"Стерва, которая меня убила","Знакомство с очередной девушкой обернулось для незадачливого рыбака Еремина крупными неприятностями. Во-первых, вместо камбалы на гарпуне его подводного ружья болтается какой-то незнакомец, во-вторых, ему срочно приходится сжигать свой дом и машину, в-третьих, он оказывается за штурвалом самолета, абсолютно не умея управлять им. Но это только цветочки, ягодки впереди…",book_316703_site_4,"","",default,1.54,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Авторы>Андрей Дышев|,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Authors>Андрей Дышев|,2014-01-01,32,publication_year:2012|ISBN:978-5-699-58657-8|Format:70x100/32|in_stock:32|Pages:320|,"Стерва, которая меня убила:Знакомство с очередной девушкой обернулось для незадачливого рыбака Еремина крупными неприятностями. Во-первых, вместо камбалы на гарпуне его подводного ружья болтается какой-то незнакомец, во-вторых, ему срочно приходится сжигать свой дом и машину, в-третьих, он оказывается за штурвалом самолета, абсолютно не умея управлять им. Но это только цветочки, ягодки впереди…",1.25,81,http://www.ozon.ru/multimedia/books_covers/1005535042.jpg
978-5-699-57457-5_site_4,Убиваем наповал,"В северных морях барражируют не только атомные подводные лодки, но и киты-горбачи. И, похоже, им становится все теснее - киты стали нападать на лодки. Разобраться с этим странным феноменом послали научную экспедицию на субмарине капитана второго ранга Ильи Макарова по прозвищу Морской волк. Одного горбача они изловили, и оказалось, что в мозг кита вживлен электронный чип, который воздействует на его поведение. Вскоре стало ясно, кто выпустил в море этих зомби. Американцы захватили экспедицию в плен и требуют, чтобы ученые прекратили свои изыскания. Придется Морскому волку вспомнить боевые навыки и вызволять пленников...",book_316704_site_4,"","",default,1.54,Categories>Художественная литература>Детективы. Боевики. Триллеры>Боевики|Авторы>Сергей Зверев|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Боевики|Authors>Сергей Зверев|Publishers>Эксмо,2014-01-01,13,Publisher:М.: Эксмо|publication_year:2012|ISBN:978-5-699-57457-5|Format:70x100/32|in_stock:13|Pages:320|,"Убиваем наповал:В северных морях барражируют не только атомные подводные лодки, но и киты-горбачи. И, похоже, им становится все теснее - киты стали нападать на лодки. Разобраться с этим странным феноменом послали научную экспедицию на субмарине капитана второго ранга Ильи Макарова по прозвищу Морской волк. Одного горбача они изловили, и оказалось, что в мозг кита вживлен электронный чип, который воздействует на его поведение. Вскоре стало ясно, кто выпустил в море этих зомби. Американцы захватили экспедицию в плен и требуют, чтобы ученые прекратили свои изыскания. Придется Морскому волку вспомнить боевые навыки и вызволять пленников...",1.25,81,http://www.ozon.ru/multimedia/books_covers/1005438218.jpg
